iter	Passed	Remaining
189	16422	70009
190	16528	70008
191	16649	70064
192	16733	69970
193	16820	69881
194	16900	69770
195	16988	69686
196	17072	69590
197	17156	69490
198	17236	69378
199	17315	69262
200	17396	69154
201	17478	69048
202	17564	68959
203	17645	68853
204	17724	68734
205	17804	68624
206	17887	68524
207	17968	68419
208	18051	68317
209	18134	68221
210	18218	68126
211	18309	68055
212	18411	68028
213	18497	67939
214	18584	67856
215	18673	67778
216	18762	67699
217	18852	67626
218	18940	67545
219	19033	67480
220	19126	67418
221	19212	67330
222	19297	67239
223	19382	67146
224	19467	67056
225	19552	66961
226	19632	66852
227	19730	66805
228	19819	66727
229	19897	66613
230	19988	66542
231	20070	66439
232	20151	66334
233	20229	66221
234	20308	66111
235	20391	66013
236	20472	65907
237	20557	65818
238	20639	65718
239	20722	65622
240	20810	65540
241	20897	65457
242	20977	65350
243	21057	65244
244	21140	65146
245	21222	65048
246	21305	64952
247	21403	64900
248	21499	64844
249	21597	64792
250	21677	64686
251	21758	64583
252	21843	64494
253	21924	64393
254	22003	64283
255	22087	64191
256	22176	64114
257	22285	64091
258	22365	63986
259	22454	63910
260	22554	63861
261	22643	63782
262	22735	63712
263	22854	63715
264	22948	63650
265	23047	63598
266	23132	63505
267	23214	63408
268	23306	63334
269	23388	63236
270	23478	63158
271	23579	63109
272	23682	63066
273	23776	63000
274	23861	62908
275	23943	62807
276	24024	62706
277	24107	62611
278	24188	62507
279	24272	62416
280	24355	62319
281	24437	62220
282	24519	62122
283	24600	62021
284	24680	61917
285	24775	61852
286	24870	61786
287	24987	61775
288	25081	61705
289	25164	61608
290	25249	61517
291	25336	61432
292	25423	61345
293	25513	61268
294	25619	61225
295	25716	61162
296	25806	61084
297	25886	60981
298	25973	60895
299	26053	60792
300	26138	60701
301	26219	60599
302	26303	60505
303	26404	60451
304	26508	60403
305	26627	60390
306	26719	60313
307	26809	60234
308	26897	60150
309	26980	60053
310	27064	59960
311	27150	59870
312	27235	59779
313	27334	59717
314	27442	59676
315	27541	59616
316	27623	59517
317	27703	59415
318	27786	59318
319	27869	59223
320	27958	59140
321	28045	59052
322	28137	58975
323	28231	58903
324	28340	58862
325	28470	58861
326	28557	58773
327	28641	58681
328	28724	58584
329	28817	58509
330	28919	58449
331	29024	58398
332	29112	58312
333	29196	58217
334	29276	58116
335	29357	58015
336	29444	57928
337	29536	57850
338	29618	57751
339	29702	57657
340	29787	57566
341	29870	57469
342	29952	57372
343	30034	57275
344	30116	57178
345	30202	57087
346	30286	56995
347	30367	56896
348	30451	56802
349	30545	56726
350	30633	56642
351	30714	56542
352	30797	56448
353	30878	56349
354	30961	56253
355	31051	56171
356	31132	56074
357	31215	55979
358	31297	55881
359	31386	55798
360	31467	55699
361	31553	55610
362	31640	55523
363	31742	55462
364	31837	55388
365	31921	55295
366	32006	55203
367	32089	55110
368	32178	55025
369	32263	54934
370	32350	54847
371	32438	54762
372	32536	54692
373	32625	54608
374	32711	54518
375	32796	54427
376	32877	54330
377	32965	54245
378	33078	54199
379	33171	54121
380	33265	54045
381	33361	53972
382	33445	53879
383	33524	53778
384	33612	53693
385	33708	53618
386	33801	53541
387	33890	53456
388	34010	53419
389	34096	53329
390	34182	53240
391	34272	53156
392	34355	53063
393	34440	52972
394	34524	52878
395	34609	52788
396	34698	52702
397	34797	52633
398	34879	52538
399	34960	52441
400	35052	52360
401	35146	52282
402	35232	52193
403	35314	52098
404	35401	52009
405	35495	51931
406	35588	51852
407	35679	51769
408	35777	51697
409	35870	51617
410	35964	51540
411	36061	51466
412	36151	51381
413	36254	51316
414	36340	51226
415	36433	51147
416	36519	51057
417	36604	50965
418	36700	50889
419	36795	50813
420	36876	50715
421	36962	50626
422	37049	50538
423	37134	50446
424	37218	50354
425	37306	50267
426	37390	50175
427	37475	50084
428	37570	50006
429	37650	49909
430	37740	49823
431	37822	49729
432	37901	49631
433	37982	49535
434	38068	49445
435	38165	49369
436	38251	49280
437	38333	49186
438	38414	49090
439	38502	49002
440	38583	48906
441	38665	48812
442	38745	48716
443	38831	48626
444	38910	48528
445	38992	48434
446	39076	48342
447	39155	48245
448	39256	48173
449	39336	48078
450	39415	47980
451	39496	47884
452	39576	47788
453	39662	47699
454	39748	47611
455	39831	47518
456	39914	47425
457	40008	47345
458	40093	47256
459	40179	47167
460	40265	47078
461	40353	46992
462	40439	46902
463	40524	46812
464	40606	46719
465	40703	46643
466	40807	46574
467	40890	46482
468	40971	46388
469	41059	46300
470	41140	46206
471	41225	46116
472	41318	46035
473	41411	45954
474	41513	45883
475	41613	45809
476	41700	45721
477	41786	45632
478	41872	45544
479	41963	45460
480	42055	45377
481	42149	45298
482	42247	45221
483	42333	45132
484	42427	45051
485	42516	44965
486	42606	44881
487	42700	44800
488	42784	44709
489	42874	44624
490	42980	44555
491	43071	44472
492	43162	44387
493	43255	44306
494	43342	44217
495	43429	44129
496	43517	44043
497	43607	43957
498	43696	43871
499	43803	43803
500	43899	43724
501	43987	43636
502	44072	43546
503	44161	43460
504	44262	43386
505	44350	43298
506	44444	43217
507	44544	43141
508	44633	43055
509	44727	42973
510	44817	42887
511	44900	42796
512	44984	42704
513	45064	42609
514	45156	42525
515	45243	42438
516	45353	42371
517	45448	42290
518	45539	42205
519	45624	42114
520	45704	42019
521	45789	41930
522	45879	41843
523	45962	41752
524	46045	41659
525	46124	41564
526	46205	41470
527	46287	41377
528	46366	41282
529	46456	41197
530	46536	41103
531	46611	41004
532	46692	40910
533	46773	40817
534	46854	40723
535	46934	40629
536	47014	40536
537	47101	40448
538	47187	40358
539	47271	40268
540	47352	40175
541	47451	40097
542	47541	40011
543	47628	39924
544	47716	39836
545	47812	39756
546	47908	39675
547	48000	39591
548	48088	39504
549	48175	39416
550	48261	39327
551	48340	39233
552	48419	39138
553	48501	39046
554	48587	38957
555	48674	38869
556	48758	38779
557	48839	38686
558	48919	38592
559	49020	38516
560	49104	38425
561	49198	38343
562	49278	38249
563	49357	38155
564	49438	38063
565	49518	37969
566	49605	37882
567	49697	37797
568	49783	37709
569	49861	37615
570	49940	37520
571	50024	37430
572	50102	37336
573	50180	37242
574	50265	37153
575	50346	37060
576	50428	36969
577	50510	36878
578	50626	36811
579	50720	36728
580	50808	36641
581	50898	36555
582	50983	36466
583	51072	36380
584	51154	36288
585	51244	36203
586	51328	36113
587	51418	36027
588	51497	35934
589	51576	35841
590	51657	35749
591	51740	35659
592	51819	35565
593	51899	35473
594	51986	35385
595	52069	35295
596	52152	35205
597	52239	35117
598	52328	35031
599	52408	34939
600	52489	34847
601	52574	34758
602	52652	34665
603	52737	34576
604	52815	34482
605	52895	34391
606	52971	34296
607	53053	34205
608	53131	34112
609	53213	34021
610	53300	33934
611	53378	33841
612	53464	33753
613	53543	33661
614	53622	33568
615	53705	33478
616	53789	33389
617	53876	33302
618	53961	33213
619	54049	33127
620	54127	33034
621	54213	32946
622	54300	32859
623	54389	32773
624	54483	32690
625	54564	32599
626	54644	32507
627	54729	32419
628	54813	32330
629	54895	32240
630	54980	32151
631	55064	32062
632	55143	31971
633	55228	31882
634	55310	31792
635	55391	31701
636	55478	31614
637	55559	31524
638	55640	31434
639	55726	31346
640	55806	31255
641	55896	31169
642	55981	31081
643	56063	30991
644	56145	30901
645	56229	30812
646	56317	30726
647	56404	30639
648	56486	30549
649	56574	30463
650	56652	30371
651	56734	30281
652	56815	30191
653	56893	30099
654	56988	30016
655	57066	29924
656	57145	29833
657	57226	29743
658	57305	29652
659	57384	29561
660	57460	29469
661	57550	29383
662	57626	29291
663	57706	29200
664	57785	29110
665	57863	29018
666	57947	28930
667	58034	28843
668	58120	28756
669	58204	28667
670	58285	28578
671	58364	28487
672	58443	28396
673	58520	28305
674	58599	28214
675	58684	28126
676	58766	28037
677	58847	27948
678	58925	27857
679	59005	27767
680	59082	27675
681	59160	27585
682	59237	27493
683	59314	27402
684	59395	27313
685	59477	27224
686	59554	27133
687	59630	27041
688	59711	26952
689	59790	26862
690	59868	26772
691	59946	26681
692	60025	26591
693	60101	26500
694	60183	26411
695	60262	26321
696	60338	26230
697	60417	26140
698	60507	26055
699	60590	25967
700	60668	25877
701	60751	25789
702	60830	25699
703	60915	25612
704	61000	25525
705	61078	25434
706	61159	25345
707	61237	25256
708	61317	25167
709	61398	25078
710	61476	24988
711	61567	24903
712	61654	24817
713	61746	24733
714	61835	24647
715	61926	24563
716	62008	24474
717	62088	24385
718	62172	24298
719	62257	24211
720	62346	24125
721	62437	24041
722	62522	23954
723	62605	23866
724	62687	23778
725	62767	23689
726	62845	23599
727	62924	23510
728	63002	23420
729	63081	23331
730	63167	23244
731	63245	23155
732	63325	23066
733	63407	22978
734	63494	22892
735	63574	22804
736	63665	22719
737	63751	22632
738	63837	22546
739	63929	22461
740	64016	22375
741	64105	22290
742	64194	22204
743	64279	22117
744	64369	22032
745	64455	21946
746	64540	21859
747	64625	21772
748	64720	21688
749	64806	21602
750	64891	21515
751	64997	21435
752	65082	21348
753	65169	21262
754	65256	21176
755	65344	21090
756	65434	21004
757	65519	20917
758	65610	20832
759	65696	20746
760	65784	20660
761	65881	20577
762	65967	20490
763	66052	20403
764	66137	20316
765	66222	20229
766	66322	20147
767	66400	20058
768	66495	19974
769	66578	19887
770	66666	19800
771	66749	19713
772	66833	19626
773	66921	19540
774	67005	19453
775	67091	19366
776	67174	19279
777	67262	19193
778	67352	19107
779	67435	19020
780	67513	18931
781	67593	18843
782	67683	18757
783	67766	18670
784	67849	18582
785	67931	18495
786	68011	18407
787	68093	18319
788	68172	18231
789	68251	18142
790	68331	18054
791	68416	17968
792	68496	17880
793	68576	17791
794	68653	17703
795	68734	17615
796	68815	17527
797	68901	17441
798	68982	17353
799	69065	17266
800	69150	17179
801	69229	17091
802	69306	17002
803	69384	16914
804	69467	16827
805	69548	16739
806	69627	16652
807	69707	16564
808	69785	16475
809	69866	16388
810	69947	16300
811	70030	16213
812	70107	16125
813	70187	16038
814	70272	15951
815	70349	15863
816	70429	15775
817	70510	15688
818	70588	15600
819	70676	15514
820	70753	15426
821	70831	15338
822	70915	15251
823	71001	15165
824	71086	15079
825	71167	14991
826	71252	14905
827	71332	14817
828	71424	14732
829	71510	14646
830	71588	14558
831	71671	14472
832	71750	14384
833	71828	14296
834	71912	14210
835	72003	14125
836	72086	14038
837	72173	13952
838	72252	13864
839	72340	13779
840	72434	13694
841	72513	13606
842	72596	13520
843	72682	13434
844	72759	13346
845	72839	13259
846	72934	13174
847	73016	13087
848	73112	13003
849	73197	12917
850	73285	12831
851	73370	12745
852	73449	12657
853	73528	12570
854	73607	12483
855	73694	12397
856	73777	12310
857	73859	12223
858	73940	12136
859	74023	12050
860	74116	11965
861	74201	11879
862	74290	11793
863	74371	11706
864	74455	11620
865	74536	11533
866	74619	11446
867	74704	11360
868	74786	11273
869	74873	11187
870	74956	11101
871	75036	11014
872	75119	10928
873	75205	10841
874	75289	10755
875	75374	10669
876	75459	10583
877	75546	10497
878	75644	10412
879	75726	10326
880	75806	10239
881	75902	10154
882	75990	10068
883	76079	9983
884	76164	9897
885	76245	9810
886	76325	9723
887	76405	9636
888	76490	9550
889	76576	9464
890	76670	9379
891	76751	9292
892	76829	9205
893	76910	9119
894	76996	9033
895	77081	8946
896	77161	8860
897	77238	8773
898	77322	8686
899	77416	8601
900	77504	8516
901	77592	8430
902	77684	8344
903	77779	8259
904	77865	8173
905	77954	8087
906	78039	8001
907	78125	7915
908	78207	7829
909	78287	7742
910	78370	7656
911	78448	7569
912	78527	7482
913	78610	7396
914	78700	7310
915	78785	7224
916	78885	7140
917	78971	7054
918	79056	6967
919	79148	6882
920	79238	6796
921	79317	6710
922	79404	6624
923	79484	6537
924	79560	6450
925	79648	6365
926	79725	6278
927	79805	6191
928	79886	6105
929	79986	6020
930	80074	5934
931	80158	5848
932	80245	5762
933	80322	5675
934	80409	5589
935	80495	5503
936	80573	5417
937	80657	5331
938	80735	5244
939	80814	5158
940	80893	5071
941	80971	4985
942	81048	4898
943	81132	4812
944	81208	4726
945	81286	4640
946	81365	4553
947	81445	4467
948	81534	4381
949	81622	4295
950	81703	4209
951	81787	4123
952	81875	4037
953	81956	3951
954	82034	3865
955	82110	3779
956	82192	3693
957	82279	3607
958	82370	3521
959	82448	3435
960	82530	3349
961	82625	3263
962	82705	3177
963	82784	3091
964	82872	3005
965	82955	2919
966	83035	2833
967	83112	2747
968	83190	2661
969	83266	2575
970	83348	2489
971	83435	2403
972	83513	2317
973	83593	2231
974	83676	2145
975	83754	2059
976	83837	1973
977	83920	1887
978	83997	1801
979	84077	1715
980	84157	1629
981	84257	1544
982	84335	1458
983	84412	1372
984	84495	1286
985	84575	1200
986	84657	1115
987	84733	1029
988	84811	943
989	84894	857
990	84971	771
991	85050	685
992	85128	600
993	85206	514
994	85287	428
995	85392	342
996	85470	257
997	85549	171
998	85637	85
999	85717	0
