iter	RMSE
200	6505800.695
201	6503511.777
202	6493855.378
203	6490654.624
204	6483928.649
205	6474371.29
206	6471143.45
207	6467507.033
208	6464140.486
209	6461862.691
210	6453823.744
211	6451852.068
212	6446736.787
213	6443398.426
214	6439512.652
215	6437254.817
216	6427704.219
217	6424002.766
218	6421799.897
219	6416153.194
220	6409514.268
221	6405581.878
222	6398202.151
223	6386965.958
224	6384800.103
225	6380391.557
226	6369198.612
227	6367065.958
228	6358139.354
229	6355449.326
230	6346099.311
231	6343992.663
232	6334819.24
233	6327420.35
234	6325437.832
235	6318329.174
236	6315096.89
237	6313264.587
238	6311308.066
239	6300870.851
240	6298983.32
241	6292315.413
242	6290460.828
243	6282352.224
244	6273964.781
245	6268133.777
246	6265596.637
247	6253810.177
248	6246437.007
249	6241516.826
250	6238363.345
251	6231744.502
252	6229804.642
253	6227246.208
254	6216381.869
255	6214479.742
256	6212097.459
257	6210094.227
258	6208271.557
259	6204768.46
260	6196520.033
261	6187958.03
262	6185295.428
263	6176940.048
264	6168251.688
265	6159885.341
266	6157954.907
267	6156178.194
268	6148178.478
269	6146564.302
270	6138296.144
271	6136530.958
272	6133395.255
273	6131744.106
274	6129428.109
275	6124106.412
276	6122291.774
277	6120631.906
278	6118549.275
279	6112446.929
280	6107206.714
281	6100041.761
282	6098338.911
283	6093267.911
284	6085501.436
285	6083448.901
286	6078749.605
287	6077005.486
288	6074923.126
289	6072440.389
290	6070634.291
291	6063957.642
292	6062267.66
293	6058271.993
294	6056640.282
295	6047738.569
296	6044132.76
297	6042557.965
298	6040737.743
299	6039154.876
300	6034451.151
301	6032808.063
302	6024009.633
303	6015665.747
304	6010576.998
305	6008521.895
306	5997964.13
307	5996435.186
308	5994427.244
309	5992472.704
310	5990560.443
311	5989098.807
312	5986284.063
313	5984376.513
314	5976606.611
315	5975104.158
316	5970669.83
317	5965669.425
318	5964210.917
319	5955680.041
320	5948066.721
321	5938842.684
322	5933573.23
323	5931994.757
324	5926831.836
325	5920680.909
326	5917505.237
327	5915946.926
328	5912174.863
329	5908860.226
330	5907234.466
331	5905655.011
332	5904172.202
333	5895258.745
334	5893829.492
335	5891924.028
336	5887727.607
337	5881773.818
338	5880419.675
339	5878334.024
340	5871793.523
341	5865949.057
342	5860106.939
343	5858705.47
344	5857279.368
345	5853885.222
346	5851047.053
347	5847394.328
348	5839731.994
349	5838210.453
350	5836758.89
351	5833078.373
352	5831628.909
353	5830062.227
354	5824420.649
355	5822913.369
356	5816516.44
357	5810127.017
358	5808796.457
359	5807450.043
360	5803250.837
361	5795667.426
362	5793845.066
363	5792335.166
364	5791175.822
365	5789488.288
366	5785605.939
367	5780074.631
368	5778844.601
369	5773971.9
370	5772620.641
371	5766974.77
372	5764224.64
373	5762261.647
374	5756427.088
375	5752188.015
376	5749818.79
377	5744987.386
378	5738541.252
379	5736828.829
380	5732728.467
381	5727121.906
382	5718009.026
383	5716768.23
384	5714622.145
385	5711415.422
386	5707179.857
387	5705690.077
388	5704312.758
389	5703063.679
390	5698500.105
391	5694934.309
392	5690630.241
393	5689375.26
394	5682320.302
395	5680757.581
396	5679028.919
397	5676150.796
398	5673609.847
399	5669483.882
400	5665104.333
401	5663990.197
402	5662269.849
403	5661039.904
404	5655891.059
405	5654607.599
406	5653051.607
407	5651315.373
408	5650115.829
409	5646600.637
410	5643859.552
411	5639655.753
412	5633781.269
413	5630315.171
414	5629189.205
415	5624281.971
416	5618091.6
417	5610719.995
418	5609470.461
419	5607893.008
420	5606712.919
421	5605076.123
422	5601160.014
423	5596671.896
424	5592954.018
425	5587904.639
426	5584818.215
427	5583337.905
428	5582043.924
429	5577497.079
430	5570746.274
431	5567714.179
432	5564605.547
433	5563381.351
434	5562173.893
435	5561037.48
436	5557658.827
437	5551945.767
438	5546004.181
439	5544817.42
440	5543643.487
441	5541945.816
442	5540498.008
443	5539335.655
444	5533814.361
445	5531689.507
446	5527702.335
447	5526254.716
448	5524332.64
449	5523408.434
450	5519352.367
451	5514533.943
452	5513389.066
453	5512253.293
454	5508648.245
455	5505293.084
456	5501655.587
457	5499765.238
458	5498754.506
459	5497575.025
460	5496593.392
461	5492893.883
462	5491148.524
463	5488714.766
464	5487497.736
465	5482291.283
466	5479063.535
467	5477663.627
468	5476030.566
469	5474280.589
470	5473183.322
471	5471920.308
472	5470178.698
473	5468905.005
474	5467812.784
475	5464106.94
476	5460910.769
477	5459892.122
478	5455801.796
479	5450494.161
480	5447775.254
481	5444780.943
482	5442330.189
483	5438197.412
484	5437113.985
485	5433850.942
486	5432296.432
487	5428934.109
488	5426282.222
489	5421107.947
490	5420031.896
491	5418850.283
492	5417901.267
493	5415103.229
494	5414137.161
495	5412927.636
496	5411600.934
497	5410667.903
498	5408720.69
499	5407743.6
500	5404393.111
501	5401218.359
502	5399727.501
503	5396270.677
504	5394697.398
505	5390015.929
506	5384534.152
507	5382874.35
508	5381413.843
509	5379370.584
510	5376762.711
511	5375729.87
512	5372225.351
513	5371204.964
514	5368529.614
515	5367573.155
516	5364603.047
517	5360956.362
518	5358452.477
519	5357498.204
520	5354940.138
521	5354000.284
522	5352787.989
523	5348500.458
524	5347487.136
525	5346559.251
526	5343396.812
527	5342466.09
528	5336402.666
529	5334892.331
530	5329253.309
531	5327824.883
532	5324227.554
533	5318663.731
534	5311694.119
535	5307670.185
536	5306400.433
537	5304074.748
538	5300919.703
539	5297874.602
540	5296559.223
541	5294443.571
542	5288180.598
543	5282353.595
544	5277609.926
545	5276799.053
546	5274530.313
547	5272497.063
548	5271490.129
549	5266763.926
550	5265795.023
551	5263953.633
552	5263166.448
553	5261519.784
554	5258350.074
555	5257193.276
556	5256291.316
557	5252621.014
558	5250878.999
559	5247811.948
560	5244725.438
561	5242634.294
562	5239761.501
563	5238811.33
564	5235546.761
565	5234605.746
566	5231599.429
567	5228670.925
568	5227791.95
569	5225943.126
570	5222916.163
571	5221436.207
572	5219692.864
573	5218425.905
574	5217556.136
575	5216358.074
576	5213095.75
577	5212279.723
578	5210717.498
579	5209808.437
580	5206759.693
581	5205587.827
582	5204026.992
583	5200274.188
584	5196256.143
585	5195397.952
586	5191564.539
587	5188572.046
588	5187673.604
589	5186418.657
590	5185530.628
591	5181972.647
592	5179054.882
593	5176961.567
594	5174253.528
595	5171927.15
596	5169486.652
597	5168604.552
598	5167608.874
599	5166787.154
600	5164186.786
601	5162810.816
602	5159863.824
603	5158942.246
604	5158129.77
605	5152566.535
606	5150533.612
607	5149347.501
608	5148545.741
609	5147451.675
610	5142682.542
611	5136517.864
612	5133943.486
613	5128941.263
614	5128148.509
615	5127043.634
616	5126195.204
617	5123525.698
618	5122791.608
619	5120241.106
620	5117856.852
621	5113471.973
622	5110077.238
623	5106968.189
624	5106132.614
625	5102029.632
626	5100879.359
627	5099005.088
628	5098188.212
629	5097032.15
630	5093157.504
631	5091025.324
632	5087946.662
633	5087209.847
634	5085026.521
635	5083461.31
636	5082607.728
637	5079074.376
638	5077145.42
639	5075805.32
640	5071662.248
641	5069028.846
642	5066463.127
643	5062519.348
644	5061696.743
645	5060920.158
646	5059504.264
647	5057882.58
648	5056915.787
649	5055915.498
650	5055180.762
651	5053857.048
652	5051233.83
653	5050416.284
654	5049649.127
655	5045174.72
656	5044453.533
657	5042959.728
658	5038334.721
659	5034078.985
660	5033065.955
661	5030326.153
662	5029581.885
663	5026731.334
664	5023053.069
665	5020476.482
666	5019527.69
667	5018419.564
668	5017670.403
669	5014659.647
670	5013867.923
671	5011996.348
672	5011285.61
673	5010075.007
674	5006322.462
675	5003801.46
676	5001936.447
677	5000620.531
678	4999892.45
679	4999218.023
680	4998223.815
681	4996143.62
682	4993974.719
683	4993304.025
684	4992635.94
685	4991993.619
686	4987820.346
687	4986431.939
688	4985058.599
689	4983277.514
690	4981782.251
691	4980164.407
692	4978656.473
693	4976247.308
694	4974986.328
695	4974310
696	4973133.007
697	4969739.129
698	4967107.818
699	4964969.839
700	4961242.959
701	4960567.512
702	4957630.882
703	4955936.701
704	4955233.073
705	4953156.764
706	4949415.063
707	4947200.744
708	4943445.187
709	4942445.787
710	4941798.094
711	4940893.188
712	4940197.107
713	4939562.54
714	4935859.065
715	4933818.62
716	4931369.569
717	4928678.886
718	4926279.581
719	4925531.102
720	4924916.89
721	4924005.687
722	4923340.969
723	4922624.411
724	4916925.044
725	4916257.126
726	4915651.958
727	4915077.409
728	4914415.111
729	4909727.117
730	4906049.347
731	4904168.711
732	4900325.482
733	4899679.158
734	4896884.324
735	4893996.452
736	4892753.3
737	4891536.419
738	4888951.975
739	4888299.144
740	4887424.379
741	4886921.807
742	4884907.473
743	4879459.103
744	4878845.34
745	4877953.718
746	4877113.596
747	4874158.653
748	4872038.135
749	4868794.424
750	4866776.535
751	4865325.94
752	4862570.02
753	4861918.383
754	4859295.999
755	4857989.086
756	4856722.587
757	4855822.853
758	4853608.922
759	4852992.751
760	4852310.235
761	4850312.284
762	4845823.37
763	4842680.554
764	4842078.883
765	4841369.83
766	4838467.438
767	4834514.258
768	4831962.82
769	4831343.238
770	4830456.549
771	4829944.214
772	4828033.724
773	4822280.204
774	4821648.423
775	4821070.296
776	4818868.94
777	4817552.272
778	4816888.268
779	4816189.827
780	4813536.449
781	4812616.926
782	4811873.73
783	4809823.173
784	4809171.215
785	4805531.066
786	4804874.285
787	4804251.059
788	4802818.326
789	4800605.953
790	4798270.84
791	4797455.43
792	4792601.528
793	4790789.37
794	4789947.429
795	4789054.417
796	4787628.327
797	4785759.371
798	4785161.975
799	4783007.028
800	4781850.455
801	4780485.21
802	4777377.733
803	4773014.255
804	4768863.251
805	4768083.822
806	4764218.399
807	4761531.743
808	4760932.198
809	4759768.753
810	4758949.07
811	4755208.21
812	4754396.892
813	4753658.084
814	4751789.412
815	4750241.429
816	4749222.241
817	4748502.144
818	4747554.749
819	4747004.909
820	4746215.305
821	4745579.027
822	4744201.75
823	4742607.562
824	4742059.412
825	4740169.411
826	4739596.419
827	4736772.17
828	4736006.235
829	4733117.296
830	4732382.144
831	4730732.281
832	4729622.566
833	4727362.264
834	4725695.428
835	4724039.688
836	4722646.475
837	4722026.304
838	4720337.134
839	4718445.365
840	4715690.382
841	4714929.362
842	4714307.063
843	4713448.495
844	4710682.852
845	4707521.03
846	4706859.476
847	4706253.581
848	4705605.571
849	4704976.443
850	4704343.835
851	4702285.732
852	4697911.944
853	4697369.96
854	4696802.803
855	4695824.239
856	4695135.604
857	4694569.739
858	4693979.423
859	4693407.553
860	4690470.279
861	4689860.646
862	4689157.438
863	4687688.694
864	4684693.818
865	4683020.824
866	4679013.599
867	4678528.437
868	4678007.922
869	4677451.909
870	4675126.421
871	4674601.647
872	4674110.408
873	4673058.217
874	4672508.815
875	4671516.467
876	4670976.029
877	4670456.601
878	4667806.796
879	4664459.04
880	4663993.738
881	4663206.624
882	4660822.27
883	4659281.08
884	4656972.65
885	4655280.794
886	4653359.402
887	4652884.037
888	4652045.827
889	4649887.185
890	4648015.351
891	4645617.965
892	4645008.032
893	4642614.775
894	4641932.223
895	4640817.313
896	4639004.195
897	4636161.577
898	4635683.36
899	4633134.843
900	4630091.373
901	4628219.197
902	4626310.167
903	4625859.251
904	4624973.672
905	4623581.51
906	4621511.265
907	4621030.993
908	4619628.571
909	4615655.913
910	4614386.357
911	4613425.314
912	4612883.566
913	4609376.515
914	4608816.963
915	4608047.113
916	4606873.445
917	4603805.332
918	4600576.205
919	4600039.951
920	4596433.556
921	4594743.437
922	4592814.627
923	4590624.901
924	4590181.959
925	4589245.971
926	4587758.584
927	4586514.33
928	4585974.667
929	4584062.846
930	4580705.993
931	4580161.53
932	4578674.375
933	4576611.881
934	4576084.344
935	4572692.656
936	4571793.253
937	4569511.884
938	4566777.936
939	4566246.471
940	4564175.69
941	4561412.411
942	4560741.729
943	4558922.276
944	4557981.996
945	4557448.237
946	4554933.886
947	4554165.851
948	4551484.88
949	4549540.428
950	4547351.133
951	4544905.413
952	4543437.767
953	4542826.703
954	4542329.189
955	4539218.669
956	4536257.681
957	4533238.961
958	4532263.582
959	4531281.535
960	4529181.484
961	4526627.787
962	4524956.041
963	4522803.634
964	4522320.482
965	4521656.888
966	4520122.618
967	4519625.048
968	4518404.605
969	4515967.233
970	4515461.467
971	4512916.491
972	4509559.379
973	4507883.655
974	4505258.216
975	4504717.773
976	4502883.884
977	4502164.846
978	4501247.285
979	4500473.69
980	4499959.43
981	4497510.077
982	4494347.651
983	4492857.306
984	4491785.811
985	4490926.368
986	4489600.715
987	4488900.86
988	4488390.296
989	4485052.895
990	4484612.539
991	4483633.238
992	4483179.005
993	4482488.485
994	4480447.509
995	4479544.164
996	4479130.49
997	4478634.166
998	4478139.971
999	4477321.533
